
2024/06/21 (18:11:09) | ===> btop++ v.1.3.2
2024/06/21 (18:11:09) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:15) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:21) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:27) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:33) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:39) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:45) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:51) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:11:57) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:12:03) | ERROR: Stall in Runner thread, restarting!
2024/06/21 (18:12:09) | ERROR: Stall in Runner thread, restarting!

2024/07/02 (08:47:53) | ===> btop++ v.1.3.2
2024/07/02 (08:47:53) | WARNING: Failed to get disk/partition stats for mount "/mnt/y" with statvfs error code: 112. Ignoring...
2024/07/02 (08:47:53) | WARNING: Failed to get disk/partition stats for mount "/mnt/q" with statvfs error code: 112. Ignoring...
2024/07/02 (08:47:53) | WARNING: Failed to get disk/partition stats for mount "/mnt/n" with statvfs error code: 112. Ignoring...
2024/07/02 (08:47:53) | WARNING: Failed to get disk/partition stats for mount "/mnt/x" with statvfs error code: 112. Ignoring...
